,0
0,1.0
1,
2,
3,
4,1.0
5,1.0
6,
7,
8,
9,
10,
11,1.0
12,1.0
13,
14,
15,
16,
17,
18,
19,1.0
20,
21,
22,
23,
24,1.0
25,1.0
26,
27,
28,
29,
30,
31,
32,1.0
33,
34,
35,
36,
37,1.0
38,
39,1.0
40,
41,0.0
42,1.0
43,1.0
44,
45,
46,
47,1.0
48,
49,
50,1.0
51,
52,
53,1.0
54,
55,
56,
57,
58,
59,0.0
60,0.0
61,
62,
63,
64,
65,
66,1.0
67,1.0
68,
69,
70,
71,1.0
72,0.0
73,
74,
75,
76,
77,
78,
79,
80,
81,0.0
82,1.0
83,
84,
85,
86,
87,
88,
89,0.0
90,
91,
92,1.0
93,1.0
94,1.0
95,
96,
97,
98,1.0
99,
100,1.0
101,
102,1.0
103,
104,
105,
106,
107,
108,1.0
109,
110,
111,
112,1.0
113,1.0
114,1.0
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,0.0
127,
128,
129,
130,1.0
131,0.0
132,
133,1.0
134,1.0
135,0.0
136,
137,1.0
138,
139,
140,
141,
142,
143,0.0
144,
145,
146,
147,
148,
149,
150,1.0
151,1.0
152,0.0
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,1.0
163,
164,1.0
165,
166,
167,
168,
169,1.0
170,
171,
172,1.0
173,
174,0.0
175,
176,
177,
178,
179,
180,
181,1.0
182,
183,
184,
185,
186,1.0
187,1.0
188,1.0
189,
190,1.0
191,
192,1.0
193,
194,
195,
196,
197,
198,
199,
200,1.0
201,
202,
203,1.0
204,0.0
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,1.0
216,0.0
217,1.0
218,
219,
220,
221,
222,1.0
223,
224,
225,
226,
227,
228,0.0
229,1.0
230,
231,
232,
233,
234,1.0
235,
236,1.0
237,1.0
238,
239,
240,1.0
241,
242,0.0
243,
244,
245,
246,
247,
248,
249,
250,1.0
251,
252,
253,
254,
255,
256,
257,
258,1.0
259,
260,1.0
261,
262,
263,1.0
264,
265,1.0
266,
267,
268,1.0
269,1.0
270,
271,
272,
273,1.0
274,1.0
275,
276,
277,1.0
278,
279,
280,1.0
281,0.0
282,1.0
283,1.0
284,
285,
286,
287,
288,1.0
289,
290,
291,1.0
292,1.0
293,
294,1.0
295,
296,1.0
297,
298,
299,
300,
301,
302,
303,0.0
304,1.0
305,1.0
306,
307,1.0
308,
309,
310,
311,
312,1.0
313,1.0
314,
315,
316,
317,
318,
319,
320,
321,1.0
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,1.0
332,
333,
334,
335,
336,
337,0.0
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,1.0
348,
349,
350,0.0
351,
352,0.0
353,
354,1.0
355,
356,
357,
358,1.0
359,
360,
361,1.0
362,1.0
363,0.0
364,
365,
366,
367,
368,1.0
369,
370,
371,
372,
373,
374,
375,
376,1.0
377,
378,1.0
379,
380,
381,1.0
382,
383,
384,1.0
385,
386,
387,
388,
389,
390,1.0
391,
392,
393,
394,
395,
396,
397,
398,0.0
399,0.0
400,
401,
402,1.0
403,0.0
404,
405,
406,
407,
408,1.0
409,
410,
411,
412,1.0
413,
414,
415,
416,
417,
418,
419,1.0
420,
421,
422,0.0
423,
424,
425,
426,0.0
427,
428,
429,
430,
431,
432,1.0
433,1.0
434,
435,
436,
437,1.0
438,
439,1.0
440,1.0
441,1.0
442,
443,
444,
445,
446,1.0
447,
448,
449,
450,1.0
451,
452,
453,
454,1.0
455,
456,1.0
457,
458,
459,
460,
461,
462,0.0
463,
464,
465,1.0
466,
467,
468,
469,1.0
470,
471,
472,
473,
474,1.0
475,1.0
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,1.0
486,
487,
488,1.0
489,
490,
491,
492,1.0
493,1.0
494,
495,1.0
496,
497,
498,1.0
499,
