,0
0,1.0
1,
2,1.0
3,1.0
4,
5,
6,1.0
7,1.0
8,
9,
10,1.0
11,
12,0.0
13,1.0
14,0.0
15,0.0
16,1.0
17,1.0
18,1.0
19,1.0
20,
21,1.0
22,1.0
23,1.0
24,0.0
25,0.0
26,1.0
27,0.0
28,0.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,
40,1.0
41,
42,1.0
43,1.0
44,1.0
45,
46,0.0
47,1.0
48,2.0
49,1.0
50,1.0
51,1.0
52,
53,1.0
54,0.0
55,0.0
56,1.0
57,0.0
58,1.0
59,1.0
60,0.0
61,1.0
62,1.0
63,
64,1.0
65,0.0
66,1.0
67,1.0
68,
69,1.0
70,1.0
71,0.0
72,0.0
73,1.0
74,1.0
75,1.0
76,
77,1.0
78,1.0
79,1.0
80,1.0
81,0.0
82,0.0
83,2.0
84,0.0
85,1.0
86,1.0
87,
88,1.0
89,1.0
90,
91,1.0
92,1.0
93,1.0
94,0.0
95,1.0
96,
97,1.0
98,1.0
99,1.0
100,
101,
102,1.0
103,1.0
104,1.0
105,1.0
106,
107,1.0
108,1.0
109,1.0
110,1.0
111,
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,0.0
118,1.0
119,1.0
120,1.0
121,
122,1.0
123,
124,1.0
125,
126,1.0
127,
128,1.0
129,1.0
130,0.0
131,1.0
132,1.0
133,0.0
134,0.0
135,
136,1.0
137,
138,1.0
139,1.0
140,0.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,2.0
163,1.0
164,0.0
165,1.0
166,1.0
167,1.0
168,1.0
169,0.0
170,1.0
171,0.0
172,1.0
173,1.0
174,
175,1.0
176,1.0
177,1.0
178,1.0
179,
180,0.0
181,1.0
182,1.0
183,0.0
184,0.0
185,1.0
186,1.0
187,1.0
188,
189,
190,1.0
191,0.0
192,1.0
193,2.0
194,0.0
195,1.0
196,1.0
197,
198,
199,1.0
200,1.0
201,1.0
202,
203,1.0
204,1.0
205,1.0
206,0.0
207,0.0
208,
209,1.0
210,0.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,0.0
217,0.0
218,
219,1.0
220,0.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,0.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,
238,
239,1.0
240,
241,1.0
242,1.0
243,1.0
244,1.0
245,0.0
246,0.0
247,1.0
248,0.0
249,0.0
250,
251,
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,0.0
265,0.0
266,1.0
267,0.0
268,1.0
269,1.0
270,0.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,
280,1.0
281,2.0
282,0.0
283,0.0
284,1.0
285,
286,
287,1.0
288,1.0
289,1.0
290,
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,
301,1.0
302,0.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,
309,1.0
310,1.0
311,
312,1.0
313,1.0
314,1.0
315,1.0
316,2.0
317,1.0
318,1.0
319,0.0
320,0.0
321,0.0
322,1.0
323,1.0
324,0.0
325,0.0
326,2.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,0.0
335,1.0
336,1.0
337,1.0
338,1.0
339,0.0
340,1.0
341,0.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,0.0
349,1.0
350,
351,0.0
352,
353,1.0
354,0.0
355,0.0
356,0.0
357,1.0
358,1.0
359,1.0
360,1.0
361,
362,0.0
363,1.0
364,1.0
365,0.0
366,0.0
367,1.0
368,1.0
369,0.0
370,1.0
371,1.0
372,
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,0.0
383,0.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,1.0
393,
394,1.0
395,1.0
396,1.0
397,1.0
398,
399,
400,1.0
401,1.0
402,0.0
403,1.0
404,1.0
405,
406,1.0
407,1.0
408,1.0
409,0.0
410,1.0
411,1.0
412,1.0
413,
414,
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,0.0
421,1.0
422,
423,1.0
424,1.0
425,0.0
426,1.0
427,1.0
428,0.0
429,
430,0.0
431,1.0
432,1.0
433,1.0
434,1.0
435,
436,1.0
437,1.0
438,0.0
439,1.0
440,0.0
441,1.0
442,1.0
443,0.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,0.0
452,1.0
453,
454,1.0
455,
456,1.0
457,0.0
458,1.0
459,0.0
460,1.0
461,1.0
462,
463,1.0
464,1.0
465,1.0
466,0.0
467,1.0
468,
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,0.0
475,0.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,
490,0.0
491,1.0
492,1.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,0.0
500,1.0
501,0.0
502,0.0
503,0.0
504,1.0
505,1.0
506,1.0
507,0.0
508,1.0
509,1.0
510,1.0
511,0.0
512,1.0
513,0.0
514,0.0
515,1.0
516,1.0
517,1.0
518,1.0
519,
520,
521,
522,1.0
523,0.0
524,1.0
525,0.0
526,
527,0.0
528,1.0
529,
530,1.0
531,1.0
532,1.0
533,
534,
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,0.0
543,1.0
544,0.0
545,0.0
546,1.0
547,0.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,1.0
556,0.0
557,1.0
558,1.0
559,1.0
560,1.0
561,0.0
562,0.0
563,1.0
564,
565,1.0
566,
567,1.0
568,1.0
569,1.0
570,1.0
571,0.0
572,0.0
573,0.0
574,1.0
575,
576,1.0
577,1.0
578,0.0
579,0.0
580,1.0
581,1.0
582,1.0
583,1.0
584,1.0
585,1.0
586,1.0
587,1.0
588,1.0
589,1.0
590,0.0
591,1.0
592,1.0
593,
594,1.0
595,1.0
596,1.0
597,
598,1.0
599,1.0
600,1.0
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,0.0
607,1.0
608,1.0
609,1.0
610,1.0
611,1.0
612,1.0
613,1.0
614,1.0
615,0.0
616,0.0
617,0.0
618,0.0
619,
620,1.0
621,1.0
622,1.0
623,0.0
624,1.0
625,1.0
626,0.0
627,1.0
628,0.0
629,1.0
630,0.0
631,1.0
632,
633,
634,1.0
635,1.0
636,1.0
637,
638,1.0
639,
640,1.0
641,2.0
642,1.0
643,0.0
644,0.0
645,1.0
646,1.0
647,0.0
648,1.0
649,0.0
650,1.0
651,1.0
652,
653,1.0
654,1.0
655,1.0
656,1.0
657,1.0
658,1.0
659,0.0
660,1.0
661,1.0
662,0.0
663,1.0
664,1.0
665,1.0
666,0.0
667,1.0
668,1.0
669,1.0
670,1.0
671,1.0
672,1.0
673,
674,1.0
675,1.0
676,1.0
677,0.0
678,1.0
679,1.0
680,1.0
681,0.0
682,1.0
683,1.0
684,1.0
685,1.0
686,1.0
687,
688,1.0
689,1.0
690,0.0
691,1.0
692,0.0
693,1.0
694,1.0
695,1.0
696,1.0
697,0.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.0
703,0.0
704,
705,1.0
706,0.0
707,1.0
708,1.0
709,1.0
710,
711,1.0
712,1.0
713,1.0
714,1.0
715,1.0
716,0.0
717,1.0
718,1.0
719,
720,1.0
